iter	Logloss
0	0.5717312012
1	0.4807709351
2	0.4121884155
3	0.3614477844
4	0.323112854
5	0.2940976563
6	0.2719647827
7	0.2552598267
8	0.242656189
9	0.2329465942
10	0.2255977936
11	0.2195818481
12	0.2149983521
13	0.2113131561
14	0.2084976654
15	0.2063926697
16	0.2045864563
17	0.2030556946
18	0.2018739929
19	0.2009429626
20	0.2001134796
21	0.1993857117
22	0.1987121277
23	0.1981199036
24	0.1975177307
25	0.1969888611
26	0.1965050964
27	0.1961441956
28	0.1957887268
29	0.1953952332
30	0.195232254
31	0.1948913574
32	0.1945506897
33	0.1942496948
34	0.1940095215
35	0.1937343903
36	0.1934998779
37	0.1933055115
38	0.1930480042
39	0.1928058319
40	0.192450592
41	0.1922540131
42	0.1919670715
43	0.1917796021
44	0.1916104126
45	0.1913708191
46	0.1911089478
47	0.190859436
48	0.1905711823
49	0.1903331299
50	0.1900650635
51	0.1897931213
52	0.1895650024
53	0.1893108826
54	0.1891196136
55	0.1888769531
56	0.1886785278
57	0.1885111694
58	0.1883253174
59	0.1882230225
60	0.1880491943
61	0.1877911072
62	0.1875520325
63	0.1874508972
64	0.1872848511
65	0.1871083069
66	0.186831955
67	0.1865822144
68	0.1863538055
69	0.1861477509
70	0.1859594116
71	0.1856551056
72	0.1855944977
73	0.1852030182
74	0.1849233551
75	0.1846941223
76	0.1845263824
77	0.1843433838
78	0.1840424652
79	0.1838369446
80	0.1836388397
81	0.1834027863
82	0.1832557373
83	0.1829232788
84	0.182743866
85	0.1823883972
86	0.1822579651
87	0.1821885071
88	0.1819923096
89	0.1818158264
90	0.1815490417
91	0.1813088684
92	0.1810926819
93	0.1808835144
94	0.1806061096
95	0.1803233948
96	0.1801583252
97	0.1799186859
98	0.1797801514
99	0.1795046387
