iter	Passed	Remaining
0	162	16040
1	167	8231
2	181	5867
3	191	4594
4	196	3730
5	209	3278
6	216	2873
7	224	2586
8	239	2417
9	245	2205
10	253	2047
11	260	1910
12	269	1803
13	277	1702
14	283	1604
15	286	1503
16	296	1448
17	301	1375
18	310	1325
19	315	1260
20	320	1204
21	326	1156
22	331	1109
23	341	1081
24	348	1045
25	361	1029
26	368	996
27	374	963
28	383	938
29	388	907
30	395	881
31	401	853
32	410	833
33	415	806
34	422	783
35	428	761
36	433	737
37	440	719
38	445	697
39	451	677
40	459	660
41	465	643
42	473	627
43	478	609
44	487	596
45	493	579
46	502	567
47	509	551
48	518	539
49	524	524
50	531	510
51	537	496
52	544	482
53	550	469
54	557	456
55	564	443
56	570	430
57	578	419
58	584	406
59	593	395
60	599	383
61	609	373
62	615	361
63	627	352
64	636	342
65	643	331
66	650	320
67	657	309
68	663	298
69	670	287
70	676	276
71	684	266
72	690	255
73	696	244
74	703	234
75	710	224
76	717	214
77	723	204
78	731	194
79	737	184
80	745	174
81	752	165
82	760	155
83	767	146
84	775	136
85	782	127
86	789	118
87	796	108
88	803	99
89	810	90
90	817	80
91	824	71
92	830	62
93	839	53
94	845	44
95	853	35
96	859	26
97	866	17
98	873	8
99	880	0
